number	type	latency	urevent
1.000000	1	4370.000000	1.000000
2.000000	2	6298.000000	2.000000
3.000000	3	8319.000000	3.000000
4.000000	4	10246.000000	4.000000
5.000000	5	12320.000000	5.000000
6.000000	6	14466.000000	6.000000
7.000000	7	16474.000000	7.000000
8.000000	8	18708.000000	8.000000
9.000000	9	20530.000000	9.000000
10.000000	10	22735.000000	10.000000
11.000000	11	24757.000000	11.000000
12.000000	12	26950.000000	12.000000
13.000000	13	28821.000000	13.000000
14.000000	14	30741.000000	14.000000
15.000000	15	32558.000000	15.000000
16.000000	16	34539.000000	16.000000
17.000000	17	36410.000000	17.000000
18.000000	18	38282.000000	18.000000
19.000000	19	40107.000000	19.000000
20.000000	20	41946.000000	20.000000
21.000000	21	43973.000000	21.000000
22.000000	22	46183.000000	22.000000
23.000000	23	48172.000000	23.000000
24.000000	24	50346.000000	24.000000
25.000000	25	52233.000000	25.000000
26.000000	26	54061.000000	26.000000
27.000000	27	55982.000000	27.000000
28.000000	28	58134.000000	28.000000
29.000000	29	60030.000000	29.000000
30.000000	30	61967.000000	30.000000
31.000000	31	64075.000000	31.000000
32.000000	32	65920.000000	32.000000
33.000000	33	68018.000000	33.000000
34.000000	34	69888.000000	34.000000
35.000000	35	71735.000000	35.000000
36.000000	36	73718.000000	36.000000
37.000000	37	75780.000000	37.000000
38.000000	38	77941.000000	38.000000
39.000000	39	79963.000000	39.000000
40.000000	40	81859.000000	40.000000
41.000000	41	84042.000000	41.000000
42.000000	42	86203.000000	42.000000
43.000000	43	88330.000000	43.000000
44.000000	44	90288.000000	44.000000
45.000000	45	92137.000000	45.000000
46.000000	46	94050.000000	46.000000
47.000000	47	95936.000000	47.000000
48.000000	48	98043.000000	48.000000
49.000000	49	100062.000000	49.000000
50.000000	50	102241.000000	50.000000
51.000000	51	104097.000000	51.000000
52.000000	52	106234.000000	52.000000
53.000000	53	108149.000000	53.000000
54.000000	54	110222.000000	54.000000
55.000000	55	112162.000000	55.000000
56.000000	56	114148.000000	56.000000
57.000000	57	116102.000000	57.000000
58.000000	58	118192.000000	58.000000
59.000000	59	120238.000000	59.000000
60.000000	60	122100.000000	60.000000
61.000000	61	124112.000000	61.000000
62.000000	62	126191.000000	62.000000
63.000000	63	128187.000000	63.000000
64.000000	64	130038.000000	64.000000
65.000000	65	131848.000000	65.000000
66.000000	66	134038.000000	66.000000
67.000000	67	135924.000000	67.000000
68.000000	68	137790.000000	68.000000
69.000000	69	139629.000000	69.000000
70.000000	70	141461.000000	70.000000
71.000000	71	143329.000000	71.000000
72.000000	72	145470.000000	72.000000
73.000000	73	147295.000000	73.000000
74.000000	74	149200.000000	74.000000
75.000000	75	151112.000000	75.000000
76.000000	76	153294.000000	76.000000
77.000000	77	155125.000000	77.000000
78.000000	78	157193.000000	78.000000
79.000000	79	159107.000000	79.000000
80.000000	80	161246.000000	80.000000
81.000000	81	163128.000000	81.000000
82.000000	82	165203.000000	82.000000
83.000000	83	167333.000000	83.000000
84.000000	84	169224.000000	84.000000
85.000000	85	171106.000000	85.000000
86.000000	86	173022.000000	86.000000
87.000000	87	175124.000000	87.000000
88.000000	88	177239.000000	88.000000
89.000000	89	179142.000000	89.000000
90.000000	90	181173.000000	90.000000
91.000000	91	183013.000000	91.000000
92.000000	92	184900.000000	92.000000
93.000000	93	186880.000000	93.000000
94.000000	94	188983.000000	94.000000
95.000000	95	191005.000000	95.000000
96.000000	96	193153.000000	96.000000
97.000000	97	195299.000000	97.000000
98.000000	98	197213.000000	98.000000
99.000000	99	199218.000000	99.000000
100.000000	100	201086.000000	100.000000
