number	type	latency	urevent
1.000000	1	1408.000000	1.000000
2.000000	2	3296.000000	2.000000
3.000000	3	5263.000000	3.000000
4.000000	4	7215.000000	4.000000
5.000000	5	9371.000000	5.000000
6.000000	6	11577.000000	6.000000
7.000000	7	13590.000000	7.000000
8.000000	8	15561.000000	8.000000
9.000000	9	17561.000000	9.000000
10.000000	10	19373.000000	10.000000
11.000000	11	21493.000000	11.000000
12.000000	12	23374.000000	12.000000
13.000000	13	25205.000000	13.000000
14.000000	14	27164.000000	14.000000
15.000000	15	29374.000000	15.000000
16.000000	16	31457.000000	16.000000
17.000000	17	38667.000000	17.000000
18.000000	18	40500.000000	18.000000
19.000000	19	42354.000000	19.000000
20.000000	20	44409.000000	20.000000
21.000000	21	46238.000000	21.000000
22.000000	22	48082.000000	22.000000
23.000000	23	50022.000000	23.000000
24.000000	24	51898.000000	24.000000
25.000000	25	53719.000000	25.000000
26.000000	26	55638.000000	26.000000
27.000000	27	57649.000000	27.000000
28.000000	28	59504.000000	28.000000
29.000000	29	61483.000000	29.000000
30.000000	30	63518.000000	30.000000
31.000000	31	65665.000000	31.000000
32.000000	32	67638.000000	32.000000
33.000000	33	69711.000000	33.000000
34.000000	34	71614.000000	34.000000
35.000000	35	73481.000000	35.000000
36.000000	36	75594.000000	36.000000
37.000000	37	77602.000000	37.000000
38.000000	38	79775.000000	38.000000
39.000000	39	81681.000000	39.000000
40.000000	40	83871.000000	40.000000
41.000000	41	85895.000000	41.000000
42.000000	42	87986.000000	42.000000
43.000000	43	89950.000000	43.000000
44.000000	44	92103.000000	44.000000
45.000000	45	94013.000000	45.000000
46.000000	46	95927.000000	46.000000
47.000000	47	97966.000000	47.000000
48.000000	48	99949.000000	48.000000
49.000000	49	102089.000000	49.000000
50.000000	50	104043.000000	50.000000
51.000000	51	105937.000000	51.000000
52.000000	52	107777.000000	52.000000
53.000000	53	109592.000000	53.000000
54.000000	54	111530.000000	54.000000
55.000000	55	113570.000000	55.000000
56.000000	56	115479.000000	56.000000
57.000000	57	117298.000000	57.000000
58.000000	58	119326.000000	58.000000
59.000000	59	121509.000000	59.000000
60.000000	60	123371.000000	60.000000
61.000000	61	125560.000000	61.000000
62.000000	62	127693.000000	62.000000
63.000000	63	129629.000000	63.000000
64.000000	64	131752.000000	64.000000
65.000000	65	133647.000000	65.000000
66.000000	66	135486.000000	66.000000
67.000000	67	137407.000000	67.000000
68.000000	68	139240.000000	68.000000
69.000000	69	141209.000000	69.000000
70.000000	70	143061.000000	70.000000
71.000000	71	144939.000000	71.000000
72.000000	72	146835.000000	72.000000
73.000000	73	149025.000000	73.000000
74.000000	74	150867.000000	74.000000
75.000000	75	152971.000000	75.000000
76.000000	76	154800.000000	76.000000
77.000000	77	157005.000000	77.000000
78.000000	78	159177.000000	78.000000
79.000000	79	161015.000000	79.000000
80.000000	80	163174.000000	80.000000
81.000000	81	165015.000000	81.000000
82.000000	82	167224.000000	82.000000
83.000000	83	169130.000000	83.000000
84.000000	84	171268.000000	84.000000
85.000000	85	173321.000000	85.000000
86.000000	86	175481.000000	86.000000
87.000000	87	177331.000000	87.000000
88.000000	88	179200.000000	88.000000
89.000000	89	181147.000000	89.000000
90.000000	90	183166.000000	90.000000
91.000000	91	185038.000000	91.000000
92.000000	92	187082.000000	92.000000
93.000000	93	188941.000000	93.000000
94.000000	94	190966.000000	94.000000
95.000000	95	192935.000000	95.000000
96.000000	96	195134.000000	96.000000
97.000000	97	197264.000000	97.000000
98.000000	98	199351.000000	98.000000
99.000000	99	201396.000000	99.000000
100.000000	100	203430.000000	100.000000
