number	type	latency	urevent
1.000000	1	5599.000000	1.000000
2.000000	2	7773.000000	2.000000
3.000000	3	9646.000000	3.000000
4.000000	4	11817.000000	4.000000
5.000000	5	13973.000000	5.000000
6.000000	boundary	14561.000000	6.000000
7.000000	6	15852.000000	7.000000
8.000000	7	17810.000000	8.000000
9.000000	8	19681.000000	9.000000
10.000000	9	21587.000000	10.000000
11.000000	10	23668.000000	11.000000
12.000000	11	25500.000000	12.000000
13.000000	boundary	26161.000000	13.000000
14.000000	12	27405.000000	14.000000
15.000000	13	29430.000000	15.000000
16.000000	14	31527.000000	16.000000
17.000000	15	33430.000000	17.000000
18.000000	16	35599.000000	18.000000
19.000000	17	37496.000000	19.000000
20.000000	18	39636.000000	20.000000
21.000000	19	41653.000000	21.000000
22.000000	boundary	42441.000000	22.000000
23.000000	20	43737.000000	23.000000
24.000000	21	45728.000000	24.000000
25.000000	22	47741.000000	25.000000
26.000000	23	49630.000000	26.000000
27.000000	24	51724.000000	27.000000
28.000000	25	53762.000000	28.000000
29.000000	26	55580.000000	29.000000
30.000000	27	57637.000000	30.000000
31.000000	28	59651.000000	31.000000
32.000000	29	61636.000000	32.000000
33.000000	30	63475.000000	33.000000
34.000000	31	65293.000000	34.000000
35.000000	32	67365.000000	35.000000
36.000000	33	69277.000000	36.000000
37.000000	34	71295.000000	37.000000
38.000000	boundary	72001.000000	38.000000
39.000000	35	73310.000000	39.000000
40.000000	36	75400.000000	40.000000
41.000000	37	77394.000000	41.000000
42.000000	38	79383.000000	42.000000
43.000000	39	81568.000000	43.000000
44.000000	40	83613.000000	44.000000
45.000000	41	85648.000000	45.000000
46.000000	42	87547.000000	46.000000
47.000000	43	89593.000000	47.000000
48.000000	44	91674.000000	48.000000
49.000000	45	93586.000000	49.000000
50.000000	46	95572.000000	50.000000
51.000000	47	97481.000000	51.000000
52.000000	48	99641.000000	52.000000
53.000000	49	101844.000000	53.000000
54.000000	50	103954.000000	54.000000
55.000000	51	106129.000000	55.000000
56.000000	52	108187.000000	56.000000
57.000000	boundary	108961.000000	57.000000
58.000000	53	110347.000000	58.000000
59.000000	54	112176.000000	59.000000
60.000000	55	114043.000000	60.000000
61.000000	56	116149.000000	61.000000
62.000000	57	118284.000000	62.000000
63.000000	58	120330.000000	63.000000
64.000000	59	122142.000000	64.000000
65.000000	60	124073.000000	65.000000
66.000000	61	126239.000000	66.000000
67.000000	62	128395.000000	67.000000
68.000000	63	130566.000000	68.000000
69.000000	64	132428.000000	69.000000
70.000000	65	134480.000000	70.000000
71.000000	66	136433.000000	71.000000
72.000000	67	138620.000000	72.000000
73.000000	68	140632.000000	73.000000
74.000000	69	142663.000000	74.000000
75.000000	70	144708.000000	75.000000
76.000000	71	146675.000000	76.000000
77.000000	72	148566.000000	77.000000
78.000000	73	150551.000000	78.000000
79.000000	74	152362.000000	79.000000
80.000000	75	154452.000000	80.000000
81.000000	76	156270.000000	81.000000
82.000000	77	158350.000000	82.000000
83.000000	78	160389.000000	83.000000
84.000000	79	162533.000000	84.000000
85.000000	80	164885.000000	85.000000
86.000000	81	167073.000000	86.000000
87.000000	82	168973.000000	87.000000
88.000000	83	171167.000000	88.000000
89.000000	84	173057.000000	89.000000
90.000000	85	175013.000000	90.000000
91.000000	86	177011.000000	91.000000
92.000000	87	179207.000000	92.000000
93.000000	88	181249.000000	93.000000
94.000000	89	183159.000000	94.000000
95.000000	90	185299.000000	95.000000
96.000000	91	187121.000000	96.000000
97.000000	92	188938.000000	97.000000
98.000000	93	190975.000000	98.000000
99.000000	94	193142.000000	99.000000
100.000000	95	195125.000000	100.000000
101.000000	96	196961.000000	101.000000
102.000000	97	199019.000000	102.000000
103.000000	98	200911.000000	103.000000
104.000000	99	202813.000000	104.000000
105.000000	100	204942.000000	105.000000
