number	type	latency	urevent
1.000000	1	5274.000000	1.000000
2.000000	2	7305.000000	2.000000
3.000000	3	9146.000000	3.000000
4.000000	4	10985.000000	4.000000
5.000000	5	13152.000000	5.000000
6.000000	6	15010.000000	6.000000
7.000000	7	16937.000000	7.000000
8.000000	8	18893.000000	8.000000
9.000000	9	20743.000000	9.000000
10.000000	10	22762.000000	10.000000
11.000000	11	24591.000000	11.000000
12.000000	12	26512.000000	12.000000
13.000000	13	28394.000000	13.000000
14.000000	14	30566.000000	14.000000
15.000000	15	32640.000000	15.000000
16.000000	16	34825.000000	16.000000
17.000000	17	36710.000000	17.000000
18.000000	18	38628.000000	18.000000
19.000000	19	40742.000000	19.000000
20.000000	20	42733.000000	20.000000
21.000000	21	44920.000000	21.000000
22.000000	22	47067.000000	22.000000
23.000000	23	49126.000000	23.000000
24.000000	24	51171.000000	24.000000
25.000000	25	53057.000000	25.000000
26.000000	26	55037.000000	26.000000
27.000000	27	56961.000000	27.000000
28.000000	28	59038.000000	28.000000
29.000000	29	61227.000000	29.000000
30.000000	30	63351.000000	30.000000
31.000000	31	65198.000000	31.000000
32.000000	32	67176.000000	32.000000
33.000000	33	69271.000000	33.000000
34.000000	34	71298.000000	34.000000
35.000000	35	73273.000000	35.000000
36.000000	36	75405.000000	36.000000
37.000000	37	77426.000000	37.000000
38.000000	38	79265.000000	38.000000
39.000000	39	81321.000000	39.000000
40.000000	40	83132.000000	40.000000
41.000000	41	84941.000000	41.000000
42.000000	42	86869.000000	42.000000
43.000000	43	88893.000000	43.000000
44.000000	44	90767.000000	44.000000
45.000000	45	92869.000000	45.000000
46.000000	46	94893.000000	46.000000
47.000000	47	96760.000000	47.000000
48.000000	48	98757.000000	48.000000
49.000000	49	100893.000000	49.000000
50.000000	50	102986.000000	50.000000
51.000000	51	105164.000000	51.000000
52.000000	52	107248.000000	52.000000
53.000000	53	109196.000000	53.000000
54.000000	54	111212.000000	54.000000
55.000000	55	113140.000000	55.000000
56.000000	56	115064.000000	56.000000
57.000000	57	116909.000000	57.000000
58.000000	58	118912.000000	58.000000
59.000000	59	120823.000000	59.000000
60.000000	60	122920.000000	60.000000
61.000000	61	125020.000000	61.000000
62.000000	62	127208.000000	62.000000
63.000000	63	129301.000000	63.000000
64.000000	64	131326.000000	64.000000
65.000000	65	133295.000000	65.000000
66.000000	66	135249.000000	66.000000
67.000000	67	137255.000000	67.000000
68.000000	68	139197.000000	68.000000
69.000000	69	141172.000000	69.000000
70.000000	70	143189.000000	70.000000
71.000000	71	145348.000000	71.000000
72.000000	72	147468.000000	72.000000
73.000000	73	149380.000000	73.000000
74.000000	74	151416.000000	74.000000
75.000000	75	153253.000000	75.000000
76.000000	76	155143.000000	76.000000
77.000000	77	157172.000000	77.000000
78.000000	78	159339.000000	78.000000
79.000000	79	161221.000000	79.000000
80.000000	80	163212.000000	80.000000
81.000000	81	165107.000000	81.000000
82.000000	82	167035.000000	82.000000
83.000000	83	168990.000000	83.000000
84.000000	84	170828.000000	84.000000
85.000000	85	172724.000000	85.000000
86.000000	86	174927.000000	86.000000
87.000000	87	176873.000000	87.000000
88.000000	88	179043.000000	88.000000
89.000000	89	181154.000000	89.000000
90.000000	90	183081.000000	90.000000
91.000000	91	185091.000000	91.000000
92.000000	92	187209.000000	92.000000
93.000000	93	189186.000000	93.000000
94.000000	94	191110.000000	94.000000
95.000000	95	192956.000000	95.000000
96.000000	96	195110.000000	96.000000
97.000000	97	196935.000000	97.000000
98.000000	98	198929.000000	98.000000
99.000000	99	200930.000000	99.000000
100.000000	100	203053.000000	100.000000
