number	type	latency	urevent
1.000000	1	2295.000000	1.000000
2.000000	2	4098.000000	2.000000
3.000000	3	5912.000000	3.000000
4.000000	4	8058.000000	4.000000
5.000000	5	9941.000000	5.000000
6.000000	boundary	11161.000000	6.000000
7.000000	6	11851.000000	7.000000
8.000000	7	13927.000000	8.000000
9.000000	8	15863.000000	9.000000
10.000000	9	17734.000000	10.000000
11.000000	10	19690.000000	11.000000
12.000000	11	21668.000000	12.000000
13.000000	12	23508.000000	13.000000
14.000000	13	25504.000000	14.000000
15.000000	14	27338.000000	15.000000
16.000000	15	29481.000000	16.000000
17.000000	16	31311.000000	17.000000
18.000000	17	33234.000000	18.000000
19.000000	18	35407.000000	19.000000
20.000000	19	37361.000000	20.000000
21.000000	20	39476.000000	21.000000
22.000000	21	41413.000000	22.000000
23.000000	22	43499.000000	23.000000
24.000000	23	45643.000000	24.000000
25.000000	24	47737.000000	25.000000
26.000000	25	49665.000000	26.000000
27.000000	26	51538.000000	27.000000
28.000000	27	53476.000000	28.000000
29.000000	boundary	54881.000000	29.000000
30.000000	28	55469.000000	30.000000
31.000000	29	57373.000000	31.000000
32.000000	30	59509.000000	32.000000
33.000000	31	61426.000000	33.000000
34.000000	32	63430.000000	34.000000
35.000000	33	65295.000000	35.000000
36.000000	34	67451.000000	36.000000
37.000000	35	69372.000000	37.000000
38.000000	36	71487.000000	38.000000
39.000000	37	73684.000000	39.000000
40.000000	38	75688.000000	40.000000
41.000000	39	77849.000000	41.000000
42.000000	40	79985.000000	42.000000
43.000000	41	81799.000000	43.000000
44.000000	42	83663.000000	44.000000
45.000000	43	85527.000000	45.000000
46.000000	44	87533.000000	46.000000
47.000000	45	89347.000000	47.000000
48.000000	46	91391.000000	48.000000
49.000000	47	93200.000000	49.000000
50.000000	48	95316.000000	50.000000
51.000000	49	97382.000000	51.000000
52.000000	50	99497.000000	52.000000
53.000000	51	101587.000000	53.000000
54.000000	52	103615.000000	54.000000
55.000000	53	105504.000000	55.000000
56.000000	54	107582.000000	56.000000
57.000000	55	109626.000000	57.000000
58.000000	56	111815.000000	58.000000
59.000000	57	113878.000000	59.000000
60.000000	58	116084.000000	60.000000
61.000000	59	117988.000000	61.000000
62.000000	60	120064.000000	62.000000
63.000000	61	121992.000000	63.000000
64.000000	62	123832.000000	64.000000
65.000000	63	125947.000000	65.000000
66.000000	64	127951.000000	66.000000
67.000000	65	130110.000000	67.000000
68.000000	66	132120.000000	68.000000
69.000000	67	134156.000000	69.000000
70.000000	68	136343.000000	70.000000
71.000000	69	138423.000000	71.000000
72.000000	70	140365.000000	72.000000
73.000000	71	142175.000000	73.000000
74.000000	72	144264.000000	74.000000
75.000000	73	146466.000000	75.000000
76.000000	74	148581.000000	76.000000
77.000000	75	150686.000000	77.000000
78.000000	76	152572.000000	78.000000
79.000000	77	154436.000000	79.000000
80.000000	78	156608.000000	80.000000
81.000000	79	158727.000000	81.000000
82.000000	80	160768.000000	82.000000
83.000000	81	162920.000000	83.000000
84.000000	82	165002.000000	84.000000
85.000000	83	166923.000000	85.000000
86.000000	84	168768.000000	86.000000
87.000000	85	170826.000000	87.000000
88.000000	86	172743.000000	88.000000
89.000000	87	174900.000000	89.000000
90.000000	88	176771.000000	90.000000
91.000000	89	178687.000000	91.000000
92.000000	90	180711.000000	92.000000
93.000000	91	182904.000000	93.000000
94.000000	92	184782.000000	94.000000
95.000000	93	186650.000000	95.000000
96.000000	94	188564.000000	96.000000
97.000000	95	190440.000000	97.000000
98.000000	96	192478.000000	98.000000
99.000000	97	194483.000000	99.000000
100.000000	98	196404.000000	100.000000
101.000000	99	198273.000000	101.000000
102.000000	100	200322.000000	102.000000
