number	type	latency	urevent
1.000000	1	4880.000000	1.000000
2.000000	2	6762.000000	2.000000
3.000000	3	8917.000000	3.000000
4.000000	4	11089.000000	4.000000
5.000000	5	13090.000000	5.000000
6.000000	6	14909.000000	6.000000
7.000000	7	16758.000000	7.000000
8.000000	8	18669.000000	8.000000
9.000000	9	20571.000000	9.000000
10.000000	10	22579.000000	10.000000
11.000000	11	24393.000000	11.000000
12.000000	12	26492.000000	12.000000
13.000000	13	28584.000000	13.000000
14.000000	14	30722.000000	14.000000
15.000000	boundary	31481.000000	15.000000
16.000000	15	32557.000000	16.000000
17.000000	16	34606.000000	17.000000
18.000000	17	36522.000000	18.000000
19.000000	18	38358.000000	19.000000
20.000000	19	40216.000000	20.000000
21.000000	20	42269.000000	21.000000
22.000000	21	44349.000000	22.000000
23.000000	22	46257.000000	23.000000
24.000000	23	48457.000000	24.000000
25.000000	24	50605.000000	25.000000
26.000000	25	52718.000000	26.000000
27.000000	26	54768.000000	27.000000
28.000000	boundary	55761.000000	28.000000
29.000000	27	56776.000000	29.000000
30.000000	28	58659.000000	30.000000
31.000000	29	60723.000000	31.000000
32.000000	30	62692.000000	32.000000
33.000000	31	64824.000000	33.000000
34.000000	32	66697.000000	34.000000
35.000000	33	68703.000000	35.000000
36.000000	34	70570.000000	36.000000
37.000000	boundary	71561.000000	37.000000
38.000000	35	72528.000000	38.000000
39.000000	36	74541.000000	39.000000
40.000000	37	76399.000000	40.000000
41.000000	38	78287.000000	41.000000
42.000000	39	80313.000000	42.000000
43.000000	40	82273.000000	43.000000
44.000000	41	84368.000000	44.000000
45.000000	42	86508.000000	45.000000
46.000000	boundary	87321.000000	46.000000
47.000000	43	88404.000000	47.000000
48.000000	44	90422.000000	48.000000
49.000000	45	92295.000000	49.000000
50.000000	46	94261.000000	50.000000
51.000000	47	96292.000000	51.000000
52.000000	48	98182.000000	52.000000
53.000000	49	100012.000000	53.000000
54.000000	50	101961.000000	54.000000
55.000000	51	104088.000000	55.000000
56.000000	52	106121.000000	56.000000
57.000000	53	108236.000000	57.000000
58.000000	54	110412.000000	58.000000
59.000000	boundary	111401.000000	59.000000
60.000000	55	112573.000000	60.000000
61.000000	56	114590.000000	61.000000
62.000000	57	116407.000000	62.000000
63.000000	58	118585.000000	63.000000
64.000000	59	120438.000000	64.000000
65.000000	60	122601.000000	65.000000
66.000000	61	124706.000000	66.000000
67.000000	62	126898.000000	67.000000
68.000000	63	128835.000000	68.000000
69.000000	64	130921.000000	69.000000
70.000000	65	132970.000000	70.000000
71.000000	boundary	134041.000000	71.000000
72.000000	66	135131.000000	72.000000
73.000000	67	136983.000000	73.000000
74.000000	68	138970.000000	74.000000
75.000000	69	141110.000000	75.000000
76.000000	70	143128.000000	76.000000
77.000000	71	145064.000000	77.000000
78.000000	72	147288.000000	78.000000
79.000000	73	149304.000000	79.000000
80.000000	74	151401.000000	80.000000
81.000000	75	153300.000000	81.000000
82.000000	76	155114.000000	82.000000
83.000000	77	157304.000000	83.000000
84.000000	78	159304.000000	84.000000
85.000000	79	161285.000000	85.000000
86.000000	80	163096.000000	86.000000
87.000000	81	164962.000000	87.000000
88.000000	82	167056.000000	88.000000
89.000000	83	169162.000000	89.000000
90.000000	84	170974.000000	90.000000
91.000000	85	172906.000000	91.000000
92.000000	86	177264.000000	92.000000
93.000000	87	183418.000000	93.000000
94.000000	88	192190.000000	94.000000
95.000000	89	194277.000000	95.000000
96.000000	90	196240.000000	96.000000
97.000000	91	198413.000000	97.000000
98.000000	92	200316.000000	98.000000
99.000000	93	202144.000000	99.000000
100.000000	94	203973.000000	100.000000
101.000000	95	206053.000000	101.000000
102.000000	96	208251.000000	102.000000
103.000000	97	210354.000000	103.000000
104.000000	98	212559.000000	104.000000
105.000000	boundary	213241.000000	105.000000
106.000000	99	214371.000000	106.000000
107.000000	100	216291.000000	107.000000
