number	type	latency	urevent
1.000000	1	2787.000000	1.000000
2.000000	2	4618.000000	2.000000
3.000000	3	6739.000000	3.000000
4.000000	4	8928.000000	4.000000
5.000000	5	10917.000000	5.000000
6.000000	6	12841.000000	6.000000
7.000000	7	14706.000000	7.000000
8.000000	8	16856.000000	8.000000
9.000000	boundary	18041.000000	9.000000
10.000000	9	18830.000000	10.000000
11.000000	10	20949.000000	11.000000
12.000000	11	22873.000000	12.000000
13.000000	12	24794.000000	13.000000
14.000000	13	26840.000000	14.000000
15.000000	14	28662.000000	15.000000
16.000000	15	30846.000000	16.000000
17.000000	16	33005.000000	17.000000
18.000000	17	34998.000000	18.000000
19.000000	18	36871.000000	19.000000
20.000000	19	38876.000000	20.000000
21.000000	20	40887.000000	21.000000
22.000000	boundary	41841.000000	22.000000
23.000000	21	42825.000000	23.000000
24.000000	22	45008.000000	24.000000
25.000000	23	47200.000000	25.000000
26.000000	24	49235.000000	26.000000
27.000000	25	51442.000000	27.000000
28.000000	26	53440.000000	28.000000
29.000000	27	55348.000000	29.000000
30.000000	28	57452.000000	30.000000
31.000000	29	59546.000000	31.000000
32.000000	30	61559.000000	32.000000
33.000000	31	63579.000000	33.000000
34.000000	32	65487.000000	34.000000
35.000000	33	67695.000000	35.000000
36.000000	34	69754.000000	36.000000
37.000000	35	71668.000000	37.000000
38.000000	36	73854.000000	38.000000
39.000000	37	75771.000000	39.000000
40.000000	38	77893.000000	40.000000
41.000000	39	80047.000000	41.000000
42.000000	40	82170.000000	42.000000
43.000000	41	84082.000000	43.000000
44.000000	42	86289.000000	44.000000
45.000000	43	88495.000000	45.000000
46.000000	44	90633.000000	46.000000
47.000000	45	92575.000000	47.000000
48.000000	46	94415.000000	48.000000
49.000000	47	96330.000000	49.000000
50.000000	48	98249.000000	50.000000
51.000000	49	100335.000000	51.000000
52.000000	50	102432.000000	52.000000
53.000000	51	104445.000000	53.000000
54.000000	52	106562.000000	54.000000
55.000000	53	108645.000000	55.000000
56.000000	54	110613.000000	56.000000
57.000000	55	112458.000000	57.000000
58.000000	56	114539.000000	58.000000
59.000000	57	116702.000000	59.000000
60.000000	58	118791.000000	60.000000
61.000000	59	120605.000000	61.000000
62.000000	60	122765.000000	62.000000
63.000000	61	124809.000000	63.000000
64.000000	62	126779.000000	64.000000
65.000000	63	128770.000000	65.000000
66.000000	64	130874.000000	66.000000
67.000000	65	133076.000000	67.000000
68.000000	66	134896.000000	68.000000
69.000000	67	136830.000000	69.000000
70.000000	68	139027.000000	70.000000
71.000000	69	140859.000000	71.000000
72.000000	70	143031.000000	72.000000
73.000000	71	145157.000000	73.000000
74.000000	72	147233.000000	74.000000
75.000000	73	149427.000000	75.000000
76.000000	boundary	150321.000000	76.000000
77.000000	74	151250.000000	77.000000
78.000000	75	153067.000000	78.000000
79.000000	76	155157.000000	79.000000
80.000000	77	157173.000000	80.000000
81.000000	78	159374.000000	81.000000
82.000000	79	161310.000000	82.000000
83.000000	80	163188.000000	83.000000
84.000000	81	165021.000000	84.000000
85.000000	82	167202.000000	85.000000
86.000000	83	169256.000000	86.000000
87.000000	84	171396.000000	87.000000
88.000000	85	173482.000000	88.000000
89.000000	86	175493.000000	89.000000
90.000000	87	177355.000000	90.000000
91.000000	88	179314.000000	91.000000
92.000000	89	181403.000000	92.000000
93.000000	90	183578.000000	93.000000
94.000000	91	185489.000000	94.000000
95.000000	92	187442.000000	95.000000
96.000000	93	189585.000000	96.000000
97.000000	94	191601.000000	97.000000
98.000000	95	193517.000000	98.000000
99.000000	96	195657.000000	99.000000
100.000000	97	197689.000000	100.000000
101.000000	boundary	198681.000000	101.000000
102.000000	98	199892.000000	102.000000
103.000000	99	201881.000000	103.000000
104.000000	100	204077.000000	104.000000
