number	type	latency	urevent
1.000000	1	1584.000000	1.000000
2.000000	2	3733.000000	2.000000
3.000000	3	5598.000000	3.000000
4.000000	4	7684.000000	4.000000
5.000000	5	9834.000000	5.000000
6.000000	6	11730.000000	6.000000
7.000000	7	13932.000000	7.000000
8.000000	8	15890.000000	8.000000
9.000000	9	18033.000000	9.000000
10.000000	10	20076.000000	10.000000
11.000000	11	22142.000000	11.000000
12.000000	12	24111.000000	12.000000
13.000000	13	26266.000000	13.000000
14.000000	14	28217.000000	14.000000
15.000000	15	30218.000000	15.000000
16.000000	16	32338.000000	16.000000
17.000000	boundary	33281.000000	17.000000
18.000000	17	34285.000000	18.000000
19.000000	18	36486.000000	19.000000
20.000000	19	38323.000000	20.000000
21.000000	20	40290.000000	21.000000
22.000000	21	42420.000000	22.000000
23.000000	22	44365.000000	23.000000
24.000000	23	46420.000000	24.000000
25.000000	24	48413.000000	25.000000
26.000000	25	50269.000000	26.000000
27.000000	26	52159.000000	27.000000
28.000000	27	54259.000000	28.000000
29.000000	28	56302.000000	29.000000
30.000000	29	58459.000000	30.000000
31.000000	30	60532.000000	31.000000
32.000000	31	62424.000000	32.000000
33.000000	32	64304.000000	33.000000
34.000000	33	66328.000000	34.000000
35.000000	34	68370.000000	35.000000
36.000000	35	70514.000000	36.000000
37.000000	36	72404.000000	37.000000
38.000000	37	74506.000000	38.000000
39.000000	38	76442.000000	39.000000
40.000000	39	78506.000000	40.000000
41.000000	40	80379.000000	41.000000
42.000000	41	82555.000000	42.000000
43.000000	42	84446.000000	43.000000
44.000000	43	86521.000000	44.000000
45.000000	44	88505.000000	45.000000
46.000000	45	90702.000000	46.000000
47.000000	46	92842.000000	47.000000
48.000000	47	94855.000000	48.000000
49.000000	48	96827.000000	49.000000
50.000000	49	98934.000000	50.000000
51.000000	50	100776.000000	51.000000
52.000000	51	102693.000000	52.000000
53.000000	52	104611.000000	53.000000
54.000000	53	106731.000000	54.000000
55.000000	54	108547.000000	55.000000
56.000000	55	110430.000000	56.000000
57.000000	56	112400.000000	57.000000
58.000000	57	114379.000000	58.000000
59.000000	58	116557.000000	59.000000
60.000000	59	118645.000000	60.000000
61.000000	60	120854.000000	61.000000
62.000000	61	125957.000000	62.000000
63.000000	62	128165.000000	63.000000
64.000000	63	130327.000000	64.000000
65.000000	64	132264.000000	65.000000
66.000000	65	134435.000000	66.000000
67.000000	boundary	135321.000000	67.000000
68.000000	66	136391.000000	68.000000
69.000000	67	138345.000000	69.000000
70.000000	68	140376.000000	70.000000
71.000000	69	142548.000000	71.000000
72.000000	70	144542.000000	72.000000
73.000000	71	146428.000000	73.000000
74.000000	72	148327.000000	74.000000
75.000000	73	150321.000000	75.000000
76.000000	boundary	150961.000000	76.000000
77.000000	74	152488.000000	77.000000
78.000000	75	154431.000000	78.000000
79.000000	76	156608.000000	79.000000
80.000000	77	158591.000000	80.000000
81.000000	78	160611.000000	81.000000
82.000000	79	162662.000000	82.000000
83.000000	80	164568.000000	83.000000
84.000000	81	166665.000000	84.000000
85.000000	82	168546.000000	85.000000
86.000000	83	170530.000000	86.000000
87.000000	84	172624.000000	87.000000
88.000000	boundary	173481.000000	88.000000
89.000000	85	174677.000000	89.000000
90.000000	86	176584.000000	90.000000
91.000000	87	178651.000000	91.000000
92.000000	88	180787.000000	92.000000
93.000000	89	182654.000000	93.000000
94.000000	90	184533.000000	94.000000
95.000000	91	186397.000000	95.000000
96.000000	92	188437.000000	96.000000
97.000000	93	190406.000000	97.000000
98.000000	94	192458.000000	98.000000
99.000000	95	194300.000000	99.000000
100.000000	96	196138.000000	100.000000
101.000000	97	198197.000000	101.000000
102.000000	98	200235.000000	102.000000
103.000000	99	202172.000000	103.000000
104.000000	100	204380.000000	104.000000
