number	type	latency	urevent
1.000000	1	3276.000000	1.000000
2.000000	2	5078.000000	2.000000
3.000000	3	6892.000000	3.000000
4.000000	4	9045.000000	4.000000
5.000000	5	10929.000000	5.000000
6.000000	boundary	12241.000000	6.000000
7.000000	6	12869.000000	7.000000
8.000000	7	14985.000000	8.000000
9.000000	8	16937.000000	9.000000
10.000000	9	18832.000000	10.000000
11.000000	10	20791.000000	11.000000
12.000000	11	22786.000000	12.000000
13.000000	12	24658.000000	13.000000
14.000000	13	26967.000000	14.000000
15.000000	14	28822.000000	15.000000
16.000000	15	30977.000000	16.000000
17.000000	16	32811.000000	17.000000
18.000000	17	34740.000000	18.000000
19.000000	18	36915.000000	19.000000
20.000000	19	38907.000000	20.000000
21.000000	20	41028.000000	21.000000
22.000000	21	42967.000000	22.000000
23.000000	boundary	43681.000000	23.000000
24.000000	22	45055.000000	24.000000
25.000000	23	47204.000000	25.000000
26.000000	24	49299.000000	26.000000
27.000000	25	51238.000000	27.000000
28.000000	26	53112.000000	28.000000
29.000000	27	55051.000000	29.000000
30.000000	28	57046.000000	30.000000
31.000000	29	58955.000000	31.000000
32.000000	30	61094.000000	32.000000
33.000000	31	63013.000000	33.000000
34.000000	32	65013.000000	34.000000
35.000000	33	66883.000000	35.000000
36.000000	boundary	67721.000000	36.000000
37.000000	34	69043.000000	37.000000
38.000000	35	70966.000000	38.000000
39.000000	36	73084.000000	39.000000
40.000000	37	75285.000000	40.000000
41.000000	38	77290.000000	41.000000
42.000000	39	79457.000000	42.000000
43.000000	40	81595.000000	43.000000
44.000000	41	83411.000000	44.000000
45.000000	42	85280.000000	45.000000
46.000000	43	87145.000000	46.000000
47.000000	44	89153.000000	47.000000
48.000000	45	90973.000000	48.000000
49.000000	46	93018.000000	49.000000
50.000000	47	94830.000000	50.000000
51.000000	48	96951.000000	51.000000
52.000000	49	99019.000000	52.000000
53.000000	50	101138.000000	53.000000
54.000000	51	103229.000000	54.000000
55.000000	52	105263.000000	55.000000
56.000000	boundary	105921.000000	56.000000
57.000000	53	107154.000000	57.000000
58.000000	54	109234.000000	58.000000
59.000000	55	111283.000000	59.000000
60.000000	56	113478.000000	60.000000
61.000000	57	115543.000000	61.000000
62.000000	58	117753.000000	62.000000
63.000000	59	119661.000000	63.000000
64.000000	60	121739.000000	64.000000
65.000000	61	123665.000000	65.000000
66.000000	62	125511.000000	66.000000
67.000000	63	127628.000000	67.000000
68.000000	64	129638.000000	68.000000
69.000000	65	131798.000000	69.000000
70.000000	66	133813.000000	70.000000
71.000000	67	135850.000000	71.000000
72.000000	68	138040.000000	72.000000
73.000000	69	140122.000000	73.000000
74.000000	70	142068.000000	74.000000
75.000000	71	143879.000000	75.000000
76.000000	boundary	145081.000000	76.000000
77.000000	72	145972.000000	77.000000
78.000000	73	148175.000000	78.000000
79.000000	74	150295.000000	79.000000
80.000000	75	152402.000000	80.000000
81.000000	76	154293.000000	81.000000
82.000000	77	156160.000000	82.000000
83.000000	78	158333.000000	83.000000
84.000000	79	160458.000000	84.000000
85.000000	80	162501.000000	85.000000
86.000000	81	164657.000000	86.000000
87.000000	82	166741.000000	87.000000
88.000000	83	168665.000000	88.000000
89.000000	84	170517.000000	89.000000
90.000000	85	172576.000000	90.000000
91.000000	86	174500.000000	91.000000
92.000000	87	176658.000000	92.000000
93.000000	88	178530.000000	93.000000
94.000000	89	180448.000000	94.000000
95.000000	90	182476.000000	95.000000
96.000000	91	184672.000000	96.000000
97.000000	92	186549.000000	97.000000
98.000000	93	188419.000000	98.000000
99.000000	94	190338.000000	99.000000
100.000000	95	192217.000000	100.000000
101.000000	96	194255.000000	101.000000
102.000000	97	196266.000000	102.000000
103.000000	98	198189.000000	103.000000
104.000000	99	200063.000000	104.000000
105.000000	100	202114.000000	105.000000
