number	type	latency	urevent
1.000000	1	4518.000000	1.000000
2.000000	2	6503.000000	2.000000
3.000000	3	8408.000000	3.000000
4.000000	boundary	9561.000000	4.000000
5.000000	4	10402.000000	5.000000
6.000000	5	12562.000000	6.000000
7.000000	6	14656.000000	7.000000
8.000000	7	16664.000000	8.000000
9.000000	8	18797.000000	9.000000
10.000000	9	20878.000000	10.000000
11.000000	10	22742.000000	11.000000
12.000000	11	24873.000000	12.000000
13.000000	boundary	25601.000000	13.000000
14.000000	12	26704.000000	14.000000
15.000000	13	28682.000000	15.000000
16.000000	14	30872.000000	16.000000
17.000000	15	32884.000000	17.000000
18.000000	16	35066.000000	18.000000
19.000000	17	37070.000000	19.000000
20.000000	18	38895.000000	20.000000
21.000000	19	41056.000000	21.000000
22.000000	20	43249.000000	22.000000
23.000000	21	45333.000000	23.000000
24.000000	22	47396.000000	24.000000
25.000000	23	49300.000000	25.000000
26.000000	boundary	50161.000000	26.000000
27.000000	24	51383.000000	27.000000
28.000000	25	53566.000000	28.000000
29.000000	26	55678.000000	29.000000
30.000000	27	57606.000000	30.000000
31.000000	28	59582.000000	31.000000
32.000000	29	61502.000000	32.000000
33.000000	30	63645.000000	33.000000
34.000000	31	65720.000000	34.000000
35.000000	32	67904.000000	35.000000
36.000000	33	69831.000000	36.000000
37.000000	34	71778.000000	37.000000
38.000000	boundary	72721.000000	38.000000
39.000000	35	73908.000000	39.000000
40.000000	36	75951.000000	40.000000
41.000000	37	77883.000000	41.000000
42.000000	38	79993.000000	42.000000
43.000000	39	81822.000000	43.000000
44.000000	40	83807.000000	44.000000
45.000000	41	85684.000000	45.000000
46.000000	42	87501.000000	46.000000
47.000000	43	89487.000000	47.000000
48.000000	44	91490.000000	48.000000
49.000000	45	93477.000000	49.000000
50.000000	46	95382.000000	50.000000
51.000000	47	97314.000000	51.000000
52.000000	48	99240.000000	52.000000
53.000000	49	101134.000000	53.000000
54.000000	50	103049.000000	54.000000
55.000000	51	104952.000000	55.000000
56.000000	52	106881.000000	56.000000
57.000000	53	109045.000000	57.000000
58.000000	54	111089.000000	58.000000
59.000000	55	113099.000000	59.000000
60.000000	56	115229.000000	60.000000
61.000000	57	117343.000000	61.000000
62.000000	58	119418.000000	62.000000
63.000000	59	121306.000000	63.000000
64.000000	60	123252.000000	64.000000
65.000000	61	125109.000000	65.000000
66.000000	62	127042.000000	66.000000
67.000000	63	129167.000000	67.000000
68.000000	64	131367.000000	68.000000
69.000000	65	133258.000000	69.000000
70.000000	66	135119.000000	70.000000
71.000000	boundary	136001.000000	71.000000
72.000000	67	137158.000000	72.000000
73.000000	68	139214.000000	73.000000
74.000000	69	141193.000000	74.000000
75.000000	70	143382.000000	75.000000
76.000000	71	145424.000000	76.000000
77.000000	72	147458.000000	77.000000
78.000000	73	149390.000000	78.000000
79.000000	74	151536.000000	79.000000
80.000000	75	153554.000000	80.000000
81.000000	76	155694.000000	81.000000
82.000000	77	157660.000000	82.000000
83.000000	78	159866.000000	83.000000
84.000000	79	161729.000000	84.000000
85.000000	80	163825.000000	85.000000
86.000000	81	165673.000000	86.000000
87.000000	82	167729.000000	87.000000
88.000000	83	169935.000000	88.000000
89.000000	84	171774.000000	89.000000
90.000000	85	173970.000000	90.000000
91.000000	boundary	174721.000000	91.000000
92.000000	86	176118.000000	92.000000
93.000000	87	178062.000000	93.000000
94.000000	88	179891.000000	94.000000
95.000000	89	182054.000000	95.000000
96.000000	90	183871.000000	96.000000
97.000000	91	186074.000000	97.000000
98.000000	92	187892.000000	98.000000
99.000000	93	189919.000000	99.000000
100.000000	94	192083.000000	100.000000
101.000000	95	194243.000000	101.000000
102.000000	96	196241.000000	102.000000
103.000000	97	198363.000000	103.000000
104.000000	98	200467.000000	104.000000
105.000000	99	202324.000000	105.000000
106.000000	100	204402.000000	106.000000
