number	type	latency	urevent
1.000000	1	2324.000000	1.000000
2.000000	2	4441.000000	2.000000
3.000000	3	6549.000000	3.000000
4.000000	4	8643.000000	4.000000
5.000000	5	10568.000000	5.000000
6.000000	boundary	12121.000000	6.000000
7.000000	6	12383.000000	7.000000
8.000000	7	14359.000000	8.000000
9.000000	8	16280.000000	9.000000
10.000000	9	18472.000000	10.000000
11.000000	10	20598.000000	11.000000
12.000000	11	22442.000000	12.000000
13.000000	12	24580.000000	13.000000
14.000000	13	26466.000000	14.000000
15.000000	14	28280.000000	15.000000
16.000000	15	30445.000000	16.000000
17.000000	16	32540.000000	17.000000
18.000000	17	34703.000000	18.000000
19.000000	18	36598.000000	19.000000
20.000000	19	38687.000000	20.000000
21.000000	20	40568.000000	21.000000
22.000000	21	42544.000000	22.000000
23.000000	22	44719.000000	23.000000
24.000000	23	46654.000000	24.000000
25.000000	24	48577.000000	25.000000
26.000000	25	50398.000000	26.000000
27.000000	26	52226.000000	27.000000
28.000000	27	54154.000000	28.000000
29.000000	28	56361.000000	29.000000
30.000000	29	58196.000000	30.000000
31.000000	30	60163.000000	31.000000
32.000000	31	62346.000000	32.000000
33.000000	32	64518.000000	33.000000
34.000000	33	66378.000000	34.000000
35.000000	34	68581.000000	35.000000
36.000000	35	70407.000000	36.000000
37.000000	36	72293.000000	37.000000
38.000000	37	74337.000000	38.000000
39.000000	38	76528.000000	39.000000
40.000000	39	78562.000000	40.000000
41.000000	40	80669.000000	41.000000
42.000000	41	82873.000000	42.000000
43.000000	42	84710.000000	43.000000
44.000000	43	86661.000000	44.000000
45.000000	44	88744.000000	45.000000
46.000000	45	90645.000000	46.000000
47.000000	46	92507.000000	47.000000
48.000000	47	94476.000000	48.000000
49.000000	48	96548.000000	49.000000
50.000000	49	98635.000000	50.000000
51.000000	50	100783.000000	51.000000
52.000000	51	102747.000000	52.000000
53.000000	52	104751.000000	53.000000
54.000000	53	106773.000000	54.000000
55.000000	54	108969.000000	55.000000
56.000000	55	110997.000000	56.000000
57.000000	56	112971.000000	57.000000
58.000000	57	115140.000000	58.000000
59.000000	58	117238.000000	59.000000
60.000000	59	119437.000000	60.000000
61.000000	60	121492.000000	61.000000
62.000000	61	123649.000000	62.000000
63.000000	62	125789.000000	63.000000
64.000000	63	127994.000000	64.000000
65.000000	64	130153.000000	65.000000
66.000000	65	132028.000000	66.000000
67.000000	66	134114.000000	67.000000
68.000000	67	135995.000000	68.000000
69.000000	68	138133.000000	69.000000
70.000000	69	139984.000000	70.000000
71.000000	70	141996.000000	71.000000
72.000000	71	143879.000000	72.000000
73.000000	72	145986.000000	73.000000
74.000000	73	147937.000000	74.000000
75.000000	74	149892.000000	75.000000
76.000000	75	151865.000000	76.000000
77.000000	76	153729.000000	77.000000
78.000000	77	155644.000000	78.000000
79.000000	78	157714.000000	79.000000
80.000000	79	159599.000000	80.000000
81.000000	80	161546.000000	81.000000
82.000000	81	163394.000000	82.000000
83.000000	82	165314.000000	83.000000
84.000000	83	167159.000000	84.000000
85.000000	84	169040.000000	85.000000
86.000000	85	170954.000000	86.000000
87.000000	86	172969.000000	87.000000
88.000000	87	174927.000000	88.000000
89.000000	88	176769.000000	89.000000
90.000000	89	178717.000000	90.000000
91.000000	90	180750.000000	91.000000
92.000000	91	182908.000000	92.000000
93.000000	92	184872.000000	93.000000
94.000000	93	186980.000000	94.000000
95.000000	94	189187.000000	95.000000
96.000000	95	191266.000000	96.000000
97.000000	96	193392.000000	97.000000
98.000000	97	195580.000000	98.000000
99.000000	98	197741.000000	99.000000
100.000000	99	199736.000000	100.000000
101.000000	100	201921.000000	101.000000
