number	type	latency	urevent
1.000000	1	2817.000000	1.000000
2.000000	2	4620.000000	2.000000
3.000000	3	6434.000000	3.000000
4.000000	4	8581.000000	4.000000
5.000000	5	10464.000000	5.000000
6.000000	6	12375.000000	6.000000
7.000000	7	14445.000000	7.000000
8.000000	8	16374.000000	8.000000
9.000000	9	18240.000000	9.000000
10.000000	10	20191.000000	10.000000
11.000000	11	22163.000000	11.000000
12.000000	12	23997.000000	12.000000
13.000000	13	25988.000000	13.000000
14.000000	14	27826.000000	14.000000
15.000000	15	29971.000000	15.000000
16.000000	16	31805.000000	16.000000
17.000000	17	33732.000000	17.000000
18.000000	18	35908.000000	18.000000
19.000000	19	37870.000000	19.000000
20.000000	20	39989.000000	20.000000
21.000000	21	41929.000000	21.000000
22.000000	22	44018.000000	22.000000
23.000000	23	46165.000000	23.000000
24.000000	24	48262.000000	24.000000
25.000000	25	50194.000000	25.000000
26.000000	26	52069.000000	26.000000
27.000000	27	54010.000000	27.000000
28.000000	28	56007.000000	28.000000
29.000000	29	57915.000000	29.000000
30.000000	30	60055.000000	30.000000
31.000000	31	61976.000000	31.000000
32.000000	32	63977.000000	32.000000
33.000000	33	65846.000000	33.000000
34.000000	34	68005.000000	34.000000
35.000000	35	69928.000000	35.000000
36.000000	36	72047.000000	36.000000
37.000000	37	74247.000000	37.000000
38.000000	38	76254.000000	38.000000
39.000000	39	78418.000000	39.000000
40.000000	40	80558.000000	40.000000
41.000000	41	82376.000000	41.000000
42.000000	42	84243.000000	42.000000
43.000000	43	86110.000000	43.000000
44.000000	44	88120.000000	44.000000
45.000000	45	89938.000000	45.000000
46.000000	46	91985.000000	46.000000
47.000000	47	93797.000000	47.000000
48.000000	48	95917.000000	48.000000
49.000000	49	97991.000000	49.000000
50.000000	50	100109.000000	50.000000
51.000000	51	102202.000000	51.000000
52.000000	52	104234.000000	52.000000
53.000000	53	106126.000000	53.000000
54.000000	54	108208.000000	54.000000
55.000000	55	110255.000000	55.000000
56.000000	56	112447.000000	56.000000
57.000000	57	114515.000000	57.000000
58.000000	58	116724.000000	58.000000
59.000000	59	118631.000000	59.000000
60.000000	60	120711.000000	60.000000
61.000000	61	122639.000000	61.000000
62.000000	62	124482.000000	62.000000
63.000000	63	126600.000000	63.000000
64.000000	64	128608.000000	64.000000
65.000000	65	130770.000000	65.000000
66.000000	66	132783.000000	66.000000
67.000000	67	134822.000000	67.000000
68.000000	68	137013.000000	68.000000
69.000000	69	139096.000000	69.000000
70.000000	70	141041.000000	70.000000
71.000000	71	142854.000000	71.000000
72.000000	72	144946.000000	72.000000
73.000000	73	147150.000000	73.000000
74.000000	74	149269.000000	74.000000
75.000000	75	151378.000000	75.000000
76.000000	76	153267.000000	76.000000
77.000000	77	155138.000000	77.000000
78.000000	78	157313.000000	78.000000
79.000000	79	159436.000000	79.000000
80.000000	80	161481.000000	80.000000
81.000000	81	163636.000000	81.000000
82.000000	82	165721.000000	82.000000
83.000000	83	167646.000000	83.000000
84.000000	84	169494.000000	84.000000
85.000000	85	171555.000000	85.000000
86.000000	86	173477.000000	86.000000
87.000000	87	175637.000000	87.000000
88.000000	88	177510.000000	88.000000
89.000000	89	179428.000000	89.000000
90.000000	90	181456.000000	90.000000
91.000000	91	183650.000000	91.000000
92.000000	92	185529.000000	92.000000
93.000000	93	187401.000000	93.000000
94.000000	94	189318.000000	94.000000
95.000000	95	191198.000000	95.000000
96.000000	96	193237.000000	96.000000
97.000000	97	195245.000000	97.000000
98.000000	98	197169.000000	98.000000
99.000000	99	199041.000000	99.000000
100.000000	100	201094.000000	100.000000
