number	type	latency	urevent
1.000000	1	2342.000000	1.000000
2.000000	2	4376.000000	2.000000
3.000000	3	6408.000000	3.000000
4.000000	4	8549.000000	4.000000
5.000000	5	10373.000000	5.000000
6.000000	6	12580.000000	6.000000
7.000000	7	14435.000000	7.000000
8.000000	8	16362.000000	8.000000
9.000000	9	18208.000000	9.000000
10.000000	10	20239.000000	10.000000
11.000000	11	22124.000000	11.000000
12.000000	12	23940.000000	12.000000
13.000000	13	25825.000000	13.000000
14.000000	14	27991.000000	14.000000
15.000000	15	30082.000000	15.000000
16.000000	16	32071.000000	16.000000
17.000000	17	34068.000000	17.000000
18.000000	18	35960.000000	18.000000
19.000000	19	38095.000000	19.000000
20.000000	20	39951.000000	20.000000
21.000000	21	41813.000000	21.000000
22.000000	22	43903.000000	22.000000
23.000000	23	45934.000000	23.000000
24.000000	24	48056.000000	24.000000
25.000000	25	50131.000000	25.000000
26.000000	26	52049.000000	26.000000
27.000000	27	53965.000000	27.000000
28.000000	28	55991.000000	28.000000
29.000000	29	57895.000000	29.000000
30.000000	30	60029.000000	30.000000
31.000000	31	62071.000000	31.000000
32.000000	32	64156.000000	32.000000
33.000000	33	66196.000000	33.000000
34.000000	34	68064.000000	34.000000
35.000000	35	70253.000000	35.000000
36.000000	36	72128.000000	36.000000
37.000000	37	74335.000000	37.000000
38.000000	38	76297.000000	38.000000
39.000000	39	78450.000000	39.000000
40.000000	40	80587.000000	40.000000
41.000000	41	82516.000000	41.000000
42.000000	42	84408.000000	42.000000
43.000000	43	86367.000000	43.000000
44.000000	44	88532.000000	44.000000
45.000000	45	90697.000000	45.000000
46.000000	46	92724.000000	46.000000
47.000000	47	94781.000000	47.000000
48.000000	48	96725.000000	48.000000
49.000000	49	98620.000000	49.000000
50.000000	50	100588.000000	50.000000
51.000000	51	102483.000000	51.000000
52.000000	52	104309.000000	52.000000
53.000000	53	106239.000000	53.000000
54.000000	54	108419.000000	54.000000
55.000000	55	110598.000000	55.000000
56.000000	56	112780.000000	56.000000
57.000000	57	114668.000000	57.000000
58.000000	58	116531.000000	58.000000
59.000000	59	118719.000000	59.000000
60.000000	60	120750.000000	60.000000
61.000000	61	122736.000000	61.000000
62.000000	62	124743.000000	62.000000
63.000000	63	126850.000000	63.000000
64.000000	64	128932.000000	64.000000
65.000000	65	131087.000000	65.000000
66.000000	66	133139.000000	66.000000
67.000000	67	134977.000000	67.000000
68.000000	68	137174.000000	68.000000
69.000000	69	139153.000000	69.000000
70.000000	70	141234.000000	70.000000
71.000000	71	143369.000000	71.000000
72.000000	72	145463.000000	72.000000
73.000000	73	147618.000000	73.000000
74.000000	74	149538.000000	74.000000
75.000000	75	151689.000000	75.000000
76.000000	76	153604.000000	76.000000
77.000000	77	155545.000000	77.000000
78.000000	78	157694.000000	78.000000
79.000000	79	159832.000000	79.000000
80.000000	80	161909.000000	80.000000
81.000000	81	163828.000000	81.000000
82.000000	82	165948.000000	82.000000
83.000000	83	168023.000000	83.000000
84.000000	84	170031.000000	84.000000
85.000000	85	171984.000000	85.000000
86.000000	86	173830.000000	86.000000
87.000000	87	175762.000000	87.000000
88.000000	88	177572.000000	88.000000
89.000000	89	179393.000000	89.000000
90.000000	90	181228.000000	90.000000
91.000000	91	183381.000000	91.000000
92.000000	92	185260.000000	92.000000
93.000000	93	187101.000000	93.000000
94.000000	94	189020.000000	94.000000
95.000000	95	190864.000000	95.000000
96.000000	96	192701.000000	96.000000
97.000000	97	194674.000000	97.000000
98.000000	98	196854.000000	98.000000
99.000000	99	198755.000000	99.000000
100.000000	100	200822.000000	100.000000
