number	type	latency	urevent
1.000000	1	5036.000000	1.000000
2.000000	2	6838.000000	2.000000
3.000000	3	8652.000000	3.000000
4.000000	4	10802.000000	4.000000
5.000000	5	12685.000000	5.000000
6.000000	6	14596.000000	6.000000
7.000000	7	16671.000000	7.000000
8.000000	8	18606.000000	8.000000
9.000000	9	20478.000000	9.000000
10.000000	10	22433.000000	10.000000
11.000000	11	24410.000000	11.000000
12.000000	12	26250.000000	12.000000
13.000000	13	28246.000000	13.000000
14.000000	14	30080.000000	14.000000
15.000000	15	32223.000000	15.000000
16.000000	16	34053.000000	16.000000
17.000000	17	35977.000000	17.000000
18.000000	18	38150.000000	18.000000
19.000000	19	40103.000000	19.000000
20.000000	20	42218.000000	20.000000
21.000000	21	44155.000000	21.000000
22.000000	22	46241.000000	22.000000
23.000000	23	48385.000000	23.000000
24.000000	24	50478.000000	24.000000
25.000000	25	52406.000000	25.000000
26.000000	26	54278.000000	26.000000
27.000000	27	56215.000000	27.000000
28.000000	28	58207.000000	28.000000
29.000000	29	60112.000000	29.000000
30.000000	30	62249.000000	30.000000
31.000000	31	64166.000000	31.000000
32.000000	32	66164.000000	32.000000
33.000000	33	68031.000000	33.000000
34.000000	34	70191.000000	34.000000
35.000000	35	72112.000000	35.000000
36.000000	36	74227.000000	36.000000
37.000000	37	76423.000000	37.000000
38.000000	38	78427.000000	38.000000
39.000000	39	80589.000000	39.000000
40.000000	40	82725.000000	40.000000
41.000000	41	84540.000000	41.000000
42.000000	42	86402.000000	42.000000
43.000000	43	88266.000000	43.000000
44.000000	44	90273.000000	44.000000
45.000000	45	92087.000000	45.000000
46.000000	46	94130.000000	46.000000
47.000000	47	95940.000000	47.000000
48.000000	48	98056.000000	48.000000
49.000000	49	100122.000000	49.000000
50.000000	50	102236.000000	50.000000
51.000000	51	104326.000000	51.000000
52.000000	52	106354.000000	52.000000
53.000000	53	108243.000000	53.000000
54.000000	54	110321.000000	54.000000
55.000000	55	112365.000000	55.000000
56.000000	56	114553.000000	56.000000
57.000000	57	116617.000000	57.000000
58.000000	58	118823.000000	58.000000
59.000000	59	120726.000000	59.000000
60.000000	60	122802.000000	60.000000
61.000000	61	124727.000000	61.000000
62.000000	62	126567.000000	62.000000
63.000000	63	128682.000000	63.000000
64.000000	64	130693.000000	64.000000
65.000000	65	132851.000000	65.000000
66.000000	66	134860.000000	66.000000
67.000000	67	136895.000000	67.000000
68.000000	68	139083.000000	68.000000
69.000000	69	141162.000000	69.000000
70.000000	70	143104.000000	70.000000
71.000000	71	144914.000000	71.000000
72.000000	72	147002.000000	72.000000
73.000000	73	149203.000000	73.000000
74.000000	74	151319.000000	74.000000
75.000000	75	153425.000000	75.000000
76.000000	76	155312.000000	76.000000
77.000000	77	157176.000000	77.000000
78.000000	78	159348.000000	78.000000
79.000000	79	161467.000000	79.000000
80.000000	80	163509.000000	80.000000
81.000000	81	165661.000000	81.000000
82.000000	82	167743.000000	82.000000
83.000000	83	169665.000000	83.000000
84.000000	84	171509.000000	84.000000
85.000000	85	173567.000000	85.000000
86.000000	86	175485.000000	86.000000
87.000000	87	177641.000000	87.000000
88.000000	88	179512.000000	88.000000
89.000000	89	181428.000000	89.000000
90.000000	90	183452.000000	90.000000
91.000000	91	185643.000000	91.000000
92.000000	92	187519.000000	92.000000
93.000000	93	189387.000000	93.000000
94.000000	94	191301.000000	94.000000
95.000000	95	193183.000000	95.000000
96.000000	96	195220.000000	96.000000
97.000000	97	197225.000000	97.000000
98.000000	98	199146.000000	98.000000
99.000000	99	201015.000000	99.000000
100.000000	100	203064.000000	100.000000
