number	type	latency	urevent
1.000000	1	2721.000000	1.000000
2.000000	2	4524.000000	2.000000
3.000000	3	6337.000000	3.000000
4.000000	4	8484.000000	4.000000
5.000000	5	10367.000000	5.000000
6.000000	6	12278.000000	6.000000
7.000000	7	14348.000000	7.000000
8.000000	8	16277.000000	8.000000
9.000000	9	18143.000000	9.000000
10.000000	10	20094.000000	10.000000
11.000000	11	22066.000000	11.000000
12.000000	12	23900.000000	12.000000
13.000000	13	25891.000000	13.000000
14.000000	14	27733.000000	14.000000
15.000000	15	29879.000000	15.000000
16.000000	16	31713.000000	16.000000
17.000000	boundary	32801.000000	17.000000
18.000000	17	33640.000000	18.000000
19.000000	18	35816.000000	19.000000
20.000000	19	37773.000000	20.000000
21.000000	20	39892.000000	21.000000
22.000000	21	41832.000000	22.000000
23.000000	22	43922.000000	23.000000
24.000000	23	46068.000000	24.000000
25.000000	24	48164.000000	25.000000
26.000000	25	50096.000000	26.000000
27.000000	26	51971.000000	27.000000
28.000000	27	53912.000000	28.000000
29.000000	28	55908.000000	29.000000
30.000000	29	57817.000000	30.000000
31.000000	30	59957.000000	31.000000
32.000000	31	61877.000000	32.000000
33.000000	32	63879.000000	33.000000
34.000000	33	65748.000000	34.000000
35.000000	34	67906.000000	35.000000
36.000000	35	69829.000000	36.000000
37.000000	36	71949.000000	37.000000
38.000000	37	74149.000000	38.000000
39.000000	38	76156.000000	39.000000
40.000000	39	78321.000000	40.000000
41.000000	40	80461.000000	41.000000
42.000000	41	82279.000000	42.000000
43.000000	42	84146.000000	43.000000
44.000000	43	86013.000000	44.000000
45.000000	44	88027.000000	45.000000
46.000000	45	89845.000000	46.000000
47.000000	46	91892.000000	47.000000
48.000000	47	93704.000000	48.000000
49.000000	48	95823.000000	49.000000
50.000000	49	97893.000000	50.000000
51.000000	50	100011.000000	51.000000
52.000000	51	102104.000000	52.000000
53.000000	52	104136.000000	53.000000
54.000000	53	106028.000000	54.000000
55.000000	54	108110.000000	55.000000
56.000000	55	110156.000000	56.000000
57.000000	56	112347.000000	57.000000
58.000000	57	114415.000000	58.000000
59.000000	58	116624.000000	59.000000
60.000000	59	118531.000000	60.000000
61.000000	60	120611.000000	61.000000
62.000000	61	122539.000000	62.000000
63.000000	62	124384.000000	63.000000
64.000000	63	126502.000000	64.000000
65.000000	64	128510.000000	65.000000
66.000000	65	130672.000000	66.000000
67.000000	66	132685.000000	67.000000
68.000000	67	134724.000000	68.000000
69.000000	68	136915.000000	69.000000
70.000000	69	138998.000000	70.000000
71.000000	70	140944.000000	71.000000
72.000000	71	142757.000000	72.000000
73.000000	72	144848.000000	73.000000
74.000000	73	147056.000000	74.000000
75.000000	74	149175.000000	75.000000
76.000000	75	151284.000000	76.000000
77.000000	76	153173.000000	77.000000
78.000000	77	155041.000000	78.000000
79.000000	78	157215.000000	79.000000
80.000000	79	159338.000000	80.000000
81.000000	80	161384.000000	81.000000
82.000000	81	163539.000000	82.000000
83.000000	82	165624.000000	83.000000
84.000000	83	167548.000000	84.000000
85.000000	84	169395.000000	85.000000
86.000000	85	171456.000000	86.000000
87.000000	86	173378.000000	87.000000
88.000000	87	175536.000000	88.000000
89.000000	88	177410.000000	89.000000
90.000000	89	179329.000000	90.000000
91.000000	90	181356.000000	91.000000
92.000000	91	183550.000000	92.000000
93.000000	92	185430.000000	93.000000
94.000000	93	187302.000000	94.000000
95.000000	94	189220.000000	95.000000
96.000000	95	191099.000000	96.000000
97.000000	96	193138.000000	97.000000
98.000000	97	195148.000000	98.000000
99.000000	98	197072.000000	99.000000
100.000000	99	198944.000000	100.000000
101.000000	100	200997.000000	101.000000
